"longitude","latitude","environment.2019_land_distance","environment.2019_mean_depth","environment.2019_net_primary_production","environment.2019_sea.bottom_dissolved_oxygen","fishing.activity.2019_total_fishing","species.richness.2019","stocks.richness.2019","thermohalinity_2019","distance_class","distance_class_interpretation"
13.22,45.53,2.473778614,3.417301495,3.189247329,2.70683778,0.137126728,0.707949568,0.761207119,-2.311746291,1,"high risk"
12.72,45.03,-0.25242392,2.31502074,11.45221511,1.34315125,5.909290263,0.534682693,0.66441107,-1.209018551,2,"high risk"
13.22,45.03,-0.362189449,0.988201215,2.684947077,2.121948393,3.284773875,0.696000129,1.003197242,-1.430115458,1,"high risk"
14.22,45.03,2.875893494,1.367748141,-0.302049496,2.562825303,0.074129184,0.152300622,0.374022922,-0.797988189,1,"high risk"
12.72,44.53,-0.25242392,2.866161175,17.22347954,0.839822186,3.679336125,0.307643338,0.66441107,-0.541585177,2,"high risk"
13.22,44.53,-0.376655944,1.082206677,1.938625742,2.29323274,1.762670154,0.63027821,0.954799218,-1.126920086,1,"high risk"
13.72,44.53,0.865319125,1.970557924,0.325479181,2.569579289,0.728522228,0.803545086,1.148391316,-1.384401822,1,"high risk"
14.22,44.53,0.865319125,4.591470244,-0.061508731,2.474255686,-0.281384653,0.606379331,1.003197242,-1.233930041,1,"high risk"
14.72,44.53,0.865319125,4.188898105,-0.063801824,2.37140904,-0.316917466,0.516758533,0.712809094,-0.929902898,1,"high risk"
8.22,44.03,5.047313825,-0.137698381,0.292711744,-0.455064832,-0.244812642,1.514536749,0.954799218,-0.944149884,3,"high risk"
8.72,44.03,0.959934366,-0.315827468,0.284282918,-0.399539834,0.673511317,1.932767139,1.438779464,-0.508008525,3,"high risk"
9.22,44.03,1.324878959,-0.268193262,0.290859567,-0.483899129,2.09024548,2.046286817,1.438779464,-0.587583866,3,"high risk"
9.72,44.03,4.082238132,0.155913944,0.804558036,1.495423325,0.462804636,1.173977717,1.099993292,-1.505758244,1,"high risk"
12.72,44.03,0.865319125,6.36752367,8.736306994,1.956955625,3.963618197,0.672101249,0.519216996,-1.075801869,2,"high risk"
13.22,44.03,-0.371957424,1.921348967,1.770175787,1.948505422,1.052480823,0.570531012,0.858003168,-0.635899126,1,"high risk"
13.72,44.03,-0.438379638,1.488310144,0.355248979,1.923922076,0.743122451,0.104502863,0.616013045,-0.7623441,1,"high risk"
14.22,44.03,-0.381237004,2.526997839,0.003499748,2.189325853,0.186064227,0.110477583,0.616013045,-0.984730648,1,"high risk"
14.72,44.03,0.704473162,8.462356047,-0.124477404,2.277511738,-0.06114247,1.000710841,1.341983415,-1.418524456,1,"high risk"
15.22,44.03,1.669548855,5.346292962,-0.082845592,2.115525233,1.209406958,1.006685561,0.906401193,-2.160636275,1,"high risk"
