"longitude","latitude","environment.2020_land_distance","environment.2020_mean_depth","environment.2020_net_primary_production","environment.2020_sea.bottom_dissolved_oxygen","fishing.activity.2020_total_fishing","species.richness.2020","stocks.richness.2020","thermohalinity_2020","1","4","hotspot"
13.22,45.53,2.473778614,3.417301495,3.494371611,2.537069089,0.519248057,0.881803201,0.743405252,-2.313140584,0.43261346481784,NA,1
12.72,45.03,-0.25242392,2.31502074,11.45309787,1.297444479,4.51139659,0.577042068,0.743405252,-1.238159749,NA,NA,0
13.22,45.03,-0.362189449,0.988201215,3.666684796,1.75795361,2.830882134,0.957993484,1.168644355,-1.492465171,0.425940763554311,NA,1
14.22,45.03,2.875893494,1.367748141,-0.181965795,2.509456162,0.335530338,0.664953933,0.743405252,-1.035144341,0.456897777611634,NA,1
12.72,44.53,-0.25242392,2.866161175,17.36851839,0.715592268,3.604815571,0.348471218,0.696156462,-0.482113447,NA,NA,0
13.22,44.53,-0.376655944,1.082206677,2.427031693,2.164239652,1.362341737,0.82319529,1.074146777,-1.203213288,0.479829854323014,NA,1
13.72,44.53,0.865319125,1.970557924,0.524558867,2.363090809,0.926397235,0.99315823,1.215893145,-1.528993118,0.701123557836553,NA,1
14.22,44.53,0.865319125,4.591470244,0.01638417,2.385602737,-0.192572941,0.905246365,1.121395566,-1.397710414,0.411333001549415,NA,1
14.72,44.53,0.865319125,4.188898105,0.112888536,2.372031989,-0.239072654,0.864220828,0.932400409,-1.220916398,0.419167019264121,NA,1
8.22,44.03,5.047313825,-0.137698381,0.341924871,-0.487389456,-0.171575576,1.514768631,0.979649198,-0.880847687,NA,0.331790483101684,1
8.72,44.03,0.959934366,-0.315827468,0.360998071,-0.44190411,0.573042223,2.007075077,1.49938588,-0.49159814,NA,0.568706173748144,1
9.22,44.03,1.324878959,-0.268193262,0.349682468,-0.544649414,2.212340723,2.118430106,1.54663467,-0.596916117,0.314468973193742,0.391654910715105,1
9.72,44.03,4.082238132,0.155913944,0.704161625,1.606179099,0.55293711,1.286197781,1.026897987,-1.417575589,0.38822506430178,0.327897777984676,1
12.72,44.03,0.865319125,6.36752367,7.808387965,2.115151938,3.571657121,0.852499246,0.648907673,-1.162432865,0.333251520999811,NA,1
13.22,44.03,-0.371957424,1.921348967,1.551539323,1.978842894,0.862031824,0.653232351,0.932400409,-0.854299409,0.505334481420023,NA,1
13.72,44.03,-0.438379638,1.488310144,0.343885468,1.85262099,0.867387381,0.213673024,0.790654041,-1.004152352,0.456398087632583,NA,1
14.22,44.03,-0.381237004,2.526997839,0.104221844,2.075120788,0.179812542,0.295724099,0.790654041,-1.170600084,0.415880726602988,NA,1
14.72,44.03,0.704473162,8.462356047,0.107668685,2.272168574,-0.028952514,1.168981961,1.310390723,-1.496324646,0.337316072944597,NA,1
15.22,44.03,1.669548855,5.346292962,0.13343764,2.178318813,1.502549794,1.16312117,1.026897987,-2.050000566,0.443986936121574,NA,1
7.22,43.53,2.875893494,-0.281040693,0.771658887,-0.206368552,-0.367059197,1.948467166,1.263141934,-0.67094969,NA,0.432879532154867,1
7.72,43.53,1.324878959,-0.359460675,0.660357996,-0.260264498,0.408108467,1.837112137,1.49938588,-0.513770295,NA,0.582546528687069,1
8.22,43.53,0.780663351,-0.372957751,0.567392327,-0.097770437,-0.080517092,1.526490213,1.310390723,-0.513869677,NA,0.653811676454972,1
8.72,43.53,-0.367136871,-0.383974067,0.547566847,-0.030680664,-0.402737686,0.096457204,0.22366857,-0.345389773,NA,NA,0
9.22,43.53,-0.424983567,-0.341927532,0.519881052,-0.372279895,-0.211883034,1.016601394,1.310390723,-0.338214984,NA,0.319761923678925,1
9.72,43.53,-0.260602531,-0.120073341,0.579220218,0.642100986,1.805773812,1.661288406,1.49938588,-0.65753325,0.322702252636185,0.413730846777186,1
10.22,43.53,1.483957386,0.988201215,0.846366599,2.144311019,1.375299929,1.116234841,1.074146777,-2.14518904,0.709063166618362,NA,1
13.72,43.53,0.780663351,2.021860956,1.007824651,1.897627486,3.889984962,1.286197781,1.357639513,-0.963938031,0.560445727316774,NA,1
14.22,43.53,-0.371957424,1.521004929,0.181222343,1.905895915,1.757817632,0.325028054,0.83790283,-1.035318849,0.547229843783984,NA,1
14.72,43.53,-0.381237004,2.526997839,-0.121306073,2.06248606,0.02865416,0.207812233,0.790654041,-1.227002574,0.390953140962748,NA,1
15.22,43.53,0.704473162,3.29285053,-0.199101329,1.844716966,0.469543053,1.379970437,1.404888302,-1.417619501,0.505285898690529,NA,1
15.72,43.53,1.483957386,2.189761566,-0.13946638,1.58459798,1.477844473,1.39755281,1.404888302,-1.717613506,0.696377781236061,NA,1
3.22,43.03,2.152086716,3.066575784,1.553452793,2.222883425,0.919559296,1.268615408,1.026897987,-2.06605244,0.552875665308582,NA,1
3.72,43.03,0.865319125,1.396453386,1.652288719,2.054035113,1.627407981,1.655427615,1.215893145,-1.644514367,0.704712631938092,NA,1
4.22,43.03,-0.139968088,1.189452274,3.71984652,1.954111727,2.507725686,1.842972928,1.452137091,-1.390726526,0.440434566130083,NA,1
4.72,43.03,0.780663351,1.166811547,7.544344132,1.231985795,1.308245006,1.39755281,0.979649198,-1.210815059,0.317161574046146,NA,1
5.22,43.03,1.187011023,0.02227662,2.837464012,1.163899631,-0.242915948,2.018796659,1.310390723,-1.409454312,0.331865981771467,0.370366640906037,1
5.72,43.03,3.392898338,0.037580968,0.896588033,0.459952788,-0.226090575,1.573376541,0.979649198,-1.757407044,0.321260114617429,0.377807837087515,1
6.22,43.03,4.082238132,0.716713534,0.737181334,1.091783809,-0.433174435,1.678870779,1.026897987,-1.702782098,0.354646617015473,0.341006299588865,1
6.72,43.03,1.066376551,-0.287990733,0.400644676,-0.36419175,-0.434034016,2.177038016,1.404888302,-0.610773319,NA,0.545033788133974,1
7.22,43.03,-0.371957424,-0.386266866,0.619401638,-0.01490331,-0.40812758,0.137482741,0.365414937,-0.419279183,NA,NA,0
7.72,43.03,-0.424983567,-0.393766206,0.58484061,0.090052019,-0.415255869,-0.472039525,-0.532312059,-0.449145413,NA,NA,0
8.22,43.03,-0.441554225,-0.395873128,0.531852091,0.098658236,-0.396748639,-0.513065062,-0.296068113,-0.427661033,NA,NA,0
8.72,43.03,-0.385704947,-0.39322767,0.520206451,0.059107426,-0.40948816,-0.460317943,-0.48506327,-0.40481531,NA,NA,0
9.22,43.03,0.704473162,-0.346277138,0.468510753,-0.079705825,-0.429128435,1.749200272,1.404888302,-0.446216355,NA,0.600427551476151,1
9.72,43.03,-0.371957424,-0.048344026,0.393685489,0.322404518,-0.020981992,1.391692019,1.452137091,-0.545832648,NA,0.552117780712747,1
10.22,43.03,0.704473162,0.61149581,0.536731614,1.891164717,0.274824167,1.426856766,1.452137091,-1.095575354,0.437345114277225,0.41380578303801,1
14.22,43.03,-0.268512987,1.554827015,0.240852635,2.081516357,3.864529827,0.594624441,1.026897987,-0.917553708,0.490723589554932,NA,1
14.72,43.03,-0.456484246,1.312947231,-0.299946919,1.862856469,0.628063175,-0.073505736,0.554410095,-1.006064878,0.350454715377409,NA,1
15.22,43.03,-0.385704947,0.565748968,-0.347304036,0.907494597,0.914510937,0.196090651,0.88515162,-0.507276024,NA,0.352492672400142,1
15.72,43.03,0.704473162,1.456687339,-0.302456111,1.490346061,1.355073417,0.987297439,1.215893145,-0.880980322,0.704583226846992,NA,1
16.22,43.03,0.780663351,1.261369897,-0.047115096,2.130566371,1.664875767,1.631984451,1.49938588,-1.397940529,0.717639665934921,NA,1
16.72,43.03,1.187011023,3.845966291,0.186248027,2.044351086,-0.209301383,1.456160721,1.404888302,-1.225019138,0.445110428244119,NA,1
17.22,43.03,3.392898338,1.663672942,0.708685548,2.125446807,0.045821468,1.227589871,1.168644355,-1.939168104,0.460777583499303,NA,1
3.22,42.53,0.780663351,1.312947231,1.12291848,1.828739766,0.622133313,1.62612366,1.263141934,-1.472749696,0.668168251462176,NA,1
3.72,42.53,-0.268512987,-0.040198628,0.741828655,0.64647332,0.286379561,1.198285916,1.215893145,-0.981917959,NA,0.576089372263639,1
4.22,42.53,-0.447709044,-0.266111919,1.464998949,0.117446635,-0.188382618,0.776308962,0.83790283,-0.795223805,NA,0.350566338039649,1
4.72,42.53,-0.424983567,-0.34276294,2.123020806,-0.166637073,-0.402313201,0.641510769,0.790654041,-0.751852661,NA,0.309027248832961,1
5.22,42.53,-0.424983567,-0.374430884,0.771180975,-0.204021367,-0.432006172,0.096457204,0.459912516,-0.766384862,NA,NA,0
5.72,42.53,-0.424983567,-0.387467779,0.488753216,-0.118229298,-0.431389029,0.102317995,0.22366857,-0.656805398,NA,NA,0
6.22,42.53,-0.424983567,-0.389717176,0.529137278,0.302454693,-0.423328877,0.600485232,0.790654041,-0.602563929,NA,NA,0
6.72,42.53,-0.441554225,-0.395060752,0.456034158,0.08768198,-0.435267942,-0.366545287,-0.248819323,-0.542695194,NA,NA,0
7.22,42.53,-0.479937931,-0.397268136,0.43612972,0.152900095,-0.416339917,-0.600976928,-0.437814481,-0.513483244,NA,NA,0
7.72,42.53,-0.507756083,-0.397957249,0.417356471,0.165147131,-0.431372723,-0.577533764,-0.579560848,-0.44375376,NA,NA,0
8.22,42.53,-0.390063914,-0.397446606,0.38754441,0.113976892,-0.43167958,-0.413431615,-0.532312059,-0.330173467,NA,NA,0
9.72,42.53,0.704473162,-0.11738668,0.305071421,0.593314084,0.067404068,2.089126151,1.593883459,-0.558124701,NA,0.702690513992359,1
10.22,42.53,0.780663351,0.694019567,0.249657931,1.704502775,0.264058499,1.919163211,1.452137091,-0.96689019,0.390058219142512,0.460155070448817,1
10.72,42.53,0.959934366,0.661599549,0.410721501,1.936787732,1.983652462,1.561654959,1.49938588,-1.408644369,0.726459359718627,NA,1
14.22,42.53,0.780663351,2.021860956,0.619452712,2.008052673,5.741349959,1.303780154,1.452137091,-1.231845815,0.443569773204831,NA,1
14.72,42.53,-0.376655944,0.423046233,-0.168050807,0.858144259,2.84321508,0.196090651,0.790654041,-0.387388365,0.357986021452401,NA,1
15.22,42.53,-0.441554225,0.905126653,-0.298651798,0.765256747,1.828412862,0.114039577,0.743405252,-0.507110457,0.330258434266993,NA,1
15.72,42.53,-0.441554225,3.845966291,-0.3120286,1.57540483,1.099682937,-0.079366527,0.507161305,-0.923787451,0.393012810813596,NA,1
16.22,42.53,-0.390063914,1.261369897,-0.311811765,1.828873597,1.238244216,0.125761159,0.88515162,-1.008004767,0.43693425468001,NA,1
16.72,42.53,0.780663351,1.367748141,-0.225362311,2.015553692,0.448188008,1.385831228,1.452137091,-1.236439353,0.548707561446333,NA,1
17.22,42.53,0.704473162,0.803829256,0.059718748,1.924497626,0.400808257,1.743339481,1.49938588,-1.212456501,0.468991270483888,0.380309538372411,1
17.72,42.53,1.187011023,0.557072904,0.546593747,1.890179973,0.176340505,1.790225809,1.49938588,-1.591684183,0.456416088203423,0.382453708221914,1
18.22,42.53,5.047313825,0.84531295,0.714321365,1.572163002,0.103515286,1.157260379,1.215893145,-1.679497834,0.368925019771678,0.310323269701163,1
3.22,42.03,1.483957386,0.752509211,0.504827711,0.652871441,2.766327535,2.02465745,1.310390723,-1.072188188,0.56915752854259,NA,1
3.72,42.03,-0.276168285,-0.308859604,0.575305234,-0.2149668,-0.04525272,0.87594241,0.932400409,-0.669616304,NA,0.341021695389527,1
4.22,42.03,-0.462050378,-0.379925731,0.505828584,-0.154903392,-0.434947307,-0.577533764,-0.626809638,-0.673577409,NA,NA,0
4.72,42.03,-0.542082967,-0.386343486,0.459568018,-0.108834726,-0.435445559,-0.61269851,-0.532312059,-0.720098658,NA,NA,0
5.22,42.03,-0.544837168,-0.387638495,0.422251522,-0.046847312,-0.435409458,-0.583394555,-0.437814481,-0.746534201,NA,NA,0
5.72,42.03,-0.544837168,-0.393051862,0.410472614,0.059957058,-0.430676539,-0.559951391,-0.437814481,-0.707424131,NA,NA,0
6.22,42.03,-0.544837168,-0.395663987,0.373753756,0.159698048,-0.432330458,-0.606837719,-0.721307216,-0.594030729,NA,NA,0
6.72,42.03,-0.551403485,-0.39717022,0.294608164,0.163951161,-0.435445559,-0.636141674,-0.768556006,-0.420102812,NA,NA,0
7.22,42.03,-0.562188698,-0.398502266,0.271399967,0.167113773,-0.434705171,-0.67130642,-0.721307216,-0.290844903,NA,NA,0
7.72,42.03,-0.509654339,-0.398958395,0.312207419,0.173544969,-0.435445559,-0.642002465,-0.721307216,-0.277289715,NA,NA,0
8.22,42.03,-0.390063914,-0.394477888,0.303928009,0.043855766,-0.435156792,-0.419292406,-0.48506327,-0.160249016,NA,NA,0
8.72,42.03,2.875893494,-0.209664383,0.239722141,0.076957876,-0.435445559,1.708174735,1.168644355,-0.667380213,NA,0.447447460608743,1
