"method1","method2","year","accuracy","kappa"
"MultiKmeans","FCM","2017","94.2140790742527","0.859587835459149"
"MultiKmeans","Xmeans","2017","92.3818707810993","0.814329973777789"
"MultiKmeans","DBSCAN","2017","78.4956605593057","0.579834696328543"
"MultiKmeans","VAE","2017","81.6779170684667","0.633687443527666"
"MultiKmeans","ANN","2017","81.6779170684667","0.633687443527666"
"FCM","Xmeans","2017","93.9247830279653","0.840923423807309"
"FCM","DBSCAN","2017","72.7097396335583","0.470652109213367"
"FCM","VAE","2017","75.8919961427194","0.518063554265021"
"FCM","ANN","2017","75.8919961427194","0.518063554265021"
"Xmeans","DBSCAN","2017","72.2275795564127","0.461624989184044"
"Xmeans","VAE","2017","75.4098360655738","0.50842939441089"
"Xmeans","ANN","2017","75.4098360655738","0.50842939441089"
"DBSCAN","VAE","2017","92.1890067502411","0.843770401245417"
"DBSCAN","ANN","2017","89.2960462873674","0.785907586891868"
"VAE","ANN","2017","92.8640308582449","0.857280484448115"
"MultiKmeans","FCM","2018","95.9498553519769","0.909342958124664"
"MultiKmeans","Xmeans","2018","90.549662487946","0.782232488771557"
"MultiKmeans","DBSCAN","2018","82.9315332690453","0.663772400793542"
"MultiKmeans","VAE","2018","85.5351976856316","0.710784368411071"
"MultiKmeans","ANN","2018","85.5351976856316","0.710784368411071"
"FCM","Xmeans","2018","93.6354869816779","0.846790621460327"
"FCM","DBSCAN","2018","78.8813886210222","0.585742507072929"
"FCM","VAE","2018","81.4850530376085","0.629832898288825"
"FCM","ANN","2018","81.4850530376085","0.629832898288825"
"Xmeans","DBSCAN","2018","74.4455159112825","0.50103223440164"
"Xmeans","VAE","2018","77.0491803278689","0.541186268641178"
"Xmeans","ANN","2018","77.0491803278689","0.541186268641178"
"DBSCAN","VAE","2018","91.9961427193828","0.839914666785702"
"DBSCAN","ANN","2018","89.1031822565092","0.782052498154028"
"VAE","ANN","2018","91.321118611379","0.826422210815274"
"MultiKmeans","FCM","2019","89.9710703953713","0.790002492367126"
"MultiKmeans","Xmeans","2019","85.5351976856316","0.694138790791326"
"MultiKmeans","DBSCAN","2019","86.0173577627772","0.723457003555067"
"MultiKmeans","VAE","2019","92.4783027965285","0.84958549820178"
"MultiKmeans","ANN","2019","93.0568948891032","0.861155844493951"
"FCM","Xmeans","2019","92.6711668273867","0.830507453955801"
"FCM","DBSCAN","2019","77.7242044358727","0.566649601377766"
"FCM","VAE","2019","83.2208293153327","0.664524837410618"
"FCM","ANN","2019","83.2208293153327","0.664524837410618"
"Xmeans","DBSCAN","2019","75.602700096432","0.528052152233001"
"Xmeans","VAE","2019","79.7492767598843","0.595143281018193"
"Xmeans","ANN","2019","79.556412729026","0.591287502742176"
"DBSCAN","VAE","2019","88.5245901639344","0.770473233998151"
"DBSCAN","ANN","2019","88.5245901639344","0.770473233998151"
"VAE","ANN","2019","94.5998071359691","0.89199604228506"
"MultiKmeans","FCM","2020","92.7675988428158","0.843413081425198"
"MultiKmeans","Xmeans","2020","90.7425265188042","0.798582926325927"
"MultiKmeans","DBSCAN","2020","85.9209257473481","0.722017604095137"
"MultiKmeans","VAE","2020","88.9103182256509","0.778251936146673"
"MultiKmeans","ANN","2020","89.2960462873674","0.785964912280702"
"FCM","Xmeans","2020","91.4175506268081","0.801427763063623"
"FCM","DBSCAN","2020","79.0742526518804","0.590387916362531"
"FCM","VAE","2020","82.0636451301832","0.641396620001115"
"FCM","ANN","2020","82.0636451301832","0.641396620001115"
"Xmeans","DBSCAN","2020","78.0135004821601","0.570166380639344"
"Xmeans","VAE","2020","81.0028929604629","0.620196660599649"
"Xmeans","ANN","2020","81.0028929604629","0.620196660599649"
"DBSCAN","VAE","2020","90.0675024108004","0.801338409717792"
"DBSCAN","ANN","2020","90.4532304725169","0.809053422932635"
"VAE","ANN","2020","94.4069431051109","0.888138758080955"
"MultiKmeans","FCM","2021","89.5853423336548","0.783109851037624"
"MultiKmeans","Xmeans","2021","86.6923818707811","0.721514307064794"
"MultiKmeans","DBSCAN","2021","89.00675024108","0.78273622459669"
"MultiKmeans","VAE","2021","93.731918997107","0.874652950179174"
"MultiKmeans","ANN","2021","93.9247830279653","0.878509782481353"
"FCM","Xmeans","2021","93.2497589199614","0.846443167683469"
"FCM","DBSCAN","2021","78.5920925747348","0.585383775839898"
"FCM","VAE","2021","83.5101253616201","0.670307053016147"
"FCM","ANN","2021","83.5101253616201","0.670307053016147"
"Xmeans","DBSCAN","2021","76.6634522661524","0.549701600198096"
"Xmeans","VAE","2021","81.5814850530376","0.631760167325122"
"Xmeans","ANN","2021","81.5814850530376","0.631760167325122"
"DBSCAN","VAE","2021","91.0318225650916","0.820619270022488"
"DBSCAN","ANN","2021","90.4532304725169","0.809046319701358"
"VAE","ANN","2021","94.4069431051109","0.888138758080955"
